Países,Anos,Cod país,Expectativa de vida,Região,Grupo de renda
Afghanistan,2001,AFG,56.308,South Asia,Low income
Angola,2001,AGO,47.059,Sub-Saharan Africa,Lower middle income
Albania,2001,ALB,74.288,Europe & Central Asia,Upper middle income
Andorra,2001,AND,,Europe & Central Asia,High income
United Arab Emirates,2001,ARE,74.544,Middle East & North Africa,High income
Argentina,2001,ARG,73.755,Latin America & Caribbean,Upper middle income
Armenia,2001,ARM,71.8,Europe & Central Asia,Upper middle income
American Samoa,2001,ASM,,East Asia & Pacific,Upper middle income
Antigua and Barbuda,2001,ATG,74.171,Latin America & Caribbean,High income
Australia,2001,AUS,79.63414634146342,East Asia & Pacific,High income
Austria,2001,AUT,78.57560975609756,Europe & Central Asia,High income
Azerbaijan,2001,AZE,67.054,Europe & Central Asia,Upper middle income
Burundi,2001,BDI,49.93,Sub-Saharan Africa,Low income
Belgium,2001,BEL,77.97317073170734,Europe & Central Asia,High income
Benin,2001,BEN,55.668,Sub-Saharan Africa,Lower middle income
Burkina Faso,2001,BFA,50.893,Sub-Saharan Africa,Low income
Bangladesh,2001,BGD,65.956,South Asia,Lower middle income
Bulgaria,2001,BGR,71.76829268292684,Europe & Central Asia,Upper middle income
Bahrain,2001,BHR,74.635,Middle East & North Africa,High income
Bosnia and Herzegovina,2001,BIH,74.637,Europe & Central Asia,Upper middle income
Belarus,2001,BLR,68.50731707317074,Europe & Central Asia,Upper middle income
Belize,2001,BLZ,69.04,Latin America & Caribbean,Upper middle income
Bermuda,2001,BMU,77.88536585365854,North America,High income
Bolivia,2001,BOL,63.054,Latin America & Caribbean,Lower middle income
Brazil,2001,BRA,70.462,Latin America & Caribbean,Upper middle income
Barbados,2001,BRB,77.362,Latin America & Caribbean,High income
Bhutan,2001,BTN,61.808,South Asia,Lower middle income
Botswana,2001,BWA,50.281,Sub-Saharan Africa,Upper middle income
Central African Republic,2001,CAF,44.061,Sub-Saharan Africa,Low income
Canada,2001,CAN,79.33902439024392,North America,High income
Switzerland,2001,CHE,80.18048780487806,Europe & Central Asia,High income
Chile,2001,CHL,76.634,Latin America & Caribbean,High income
China,2001,CHN,71.732,East Asia & Pacific,Upper middle income
Cote d'Ivoire,2001,CIV,49.495,Sub-Saharan Africa,Lower middle income
Cameroon,2001,CMR,51.222,Sub-Saharan Africa,Lower middle income
Colombia,2001,COL,73.241,Latin America & Caribbean,Upper middle income
Comoros,2001,COM,59.529,Sub-Saharan Africa,Lower middle income
Costa Rica,2001,CRI,77.601,Latin America & Caribbean,Upper middle income
Cuba,2001,CUB,76.905,Latin America & Caribbean,Upper middle income
Cyprus,2001,CYP,78.139,Europe & Central Asia,High income
Germany,2001,DEU,78.32926829268293,Europe & Central Asia,High income
Djibouti,2001,DJI,57.1,Middle East & North Africa,Lower middle income
Dominica,2001,DMA,,Latin America & Caribbean,Upper middle income
Denmark,2001,DNK,76.79268292682929,Europe & Central Asia,High income
Dominican Republic,2001,DOM,69.69,Latin America & Caribbean,Upper middle income
Algeria,2001,DZA,71.116,Middle East & North Africa,Lower middle income
Ecuador,2001,ECU,73.078,Latin America & Caribbean,Upper middle income
Eritrea,2001,ERI,55.864,Sub-Saharan Africa,Low income
Spain,2001,ESP,79.36829268292684,Europe & Central Asia,High income
Estonia,2001,EST,70.25853658536586,Europe & Central Asia,High income
Ethiopia,2001,ETH,52.595,Sub-Saharan Africa,Low income
Finland,2001,FIN,77.96585365853659,Europe & Central Asia,High income
Fiji,2001,FJI,65.863,East Asia & Pacific,Upper middle income
France,2001,FRA,79.15853658536587,Europe & Central Asia,High income
Gabon,2001,GAB,57.968,Sub-Saharan Africa,Upper middle income
United Kingdom,2001,GBR,77.99268292682927,Europe & Central Asia,High income
Georgia,2001,GEO,70.065,Europe & Central Asia,Upper middle income
Ghana,2001,GHA,57.158,Sub-Saharan Africa,Lower middle income
Guinea,2001,GIN,51.255,Sub-Saharan Africa,Low income
Guinea-Bissau,2001,GNB,50.744,Sub-Saharan Africa,Low income
Equatorial Guinea,2001,GNQ,53.581,Sub-Saharan Africa,Upper middle income
Greece,2001,GRC,78.38780487804878,Europe & Central Asia,High income
Grenada,2001,GRD,72.805,Latin America & Caribbean,Upper middle income
Greenland,2001,GRL,66.70926829268294,Europe & Central Asia,High income
Guatemala,2001,GTM,68.304,Latin America & Caribbean,Upper middle income
Guam,2001,GUM,75.373,East Asia & Pacific,High income
Guyana,2001,GUY,65.532,Latin America & Caribbean,Upper middle income
Honduras,2001,HND,70.976,Latin America & Caribbean,Lower middle income
Croatia,2001,HRV,74.51292682926831,Europe & Central Asia,High income
Haiti,2001,HTI,57.382,Latin America & Caribbean,Lower middle income
Hungary,2001,HUN,72.2487804878049,Europe & Central Asia,High income
Indonesia,2001,IDN,66.037,East Asia & Pacific,Lower middle income
India,2001,IND,62.907,South Asia,Lower middle income
Ireland,2001,IRL,77.13414634146342,Europe & Central Asia,High income
Iraq,2001,IRQ,68.983,Middle East & North Africa,Upper middle income
Iceland,2001,ISL,80.69024390243904,Europe & Central Asia,High income
Israel,2001,ISR,79.40731707317074,Middle East & North Africa,High income
Italy,2001,ITA,80.12682926829268,Europe & Central Asia,High income
Jamaica,2001,JAM,74.139,Latin America & Caribbean,Upper middle income
Jordan,2001,JOR,71.907,Middle East & North Africa,Upper middle income
Japan,2001,JPN,81.41707317073171,East Asia & Pacific,High income
Kazakhstan,2001,KAZ,65.76,Europe & Central Asia,Upper middle income
Kenya,2001,KEN,51.101,Sub-Saharan Africa,Lower middle income
Cambodia,2001,KHM,59.335,East Asia & Pacific,Lower middle income
Kiribati,2001,KIR,63.446,East Asia & Pacific,Lower middle income
Kuwait,2001,KWT,73.21,Middle East & North Africa,High income
Lebanon,2001,LBN,74.999,Middle East & North Africa,Lower middle income
Liberia,2001,LBR,52.236,Sub-Saharan Africa,Low income
Libya,2001,LBY,71.038,Middle East & North Africa,Upper middle income
Sri Lanka,2001,LKA,72.233,South Asia,Lower middle income
Lesotho,2001,LSO,46.197,Sub-Saharan Africa,Lower middle income
Lithuania,2001,LTU,71.65853658536585,Europe & Central Asia,High income
Luxembourg,2001,LUX,77.82439024390246,Europe & Central Asia,High income
Latvia,2001,LVA,70.7609756097561,Europe & Central Asia,High income
Morocco,2001,MAR,69.193,Middle East & North Africa,Lower middle income
Monaco,2001,MCO,,Europe & Central Asia,High income
Moldova,2001,MDA,67.185,Europe & Central Asia,Upper middle income
Madagascar,2001,MDG,59.129,Sub-Saharan Africa,Low income
Maldives,2001,MDV,70.964,South Asia,Upper middle income
Mexico,2001,MEX,74.658,Latin America & Caribbean,Upper middle income
Marshall Islands,2001,MHL,,East Asia & Pacific,Upper middle income
North Macedonia,2001,MKD,73.43658536585367,Europe & Central Asia,Upper middle income
Mali,2001,MLI,48.758,Sub-Saharan Africa,Low income
Malta,2001,MLT,78.84390243902439,Middle East & North Africa,High income
Myanmar,2001,MMR,60.377,East Asia & Pacific,Lower middle income
Montenegro,2001,MNE,73.18751219512195,Europe & Central Asia,Upper middle income
Mongolia,2001,MNG,63.319,East Asia & Pacific,Lower middle income
Northern Mariana Islands,2001,MNP,,East Asia & Pacific,High income
Mozambique,2001,MOZ,49.295,Sub-Saharan Africa,Low income
Mauritania,2001,MRT,60.788,Sub-Saharan Africa,Lower middle income
Mauritius,2001,MUS,71.7658536585366,Sub-Saharan Africa,Upper middle income
Malawi,2001,MWI,45.204,Sub-Saharan Africa,Low income
Malaysia,2001,MYS,72.782,East Asia & Pacific,Upper middle income
Namibia,2001,NAM,51.399,Sub-Saharan Africa,Upper middle income
Niger,2001,NER,50.584,Sub-Saharan Africa,Low income
Nigeria,2001,NGA,46.51,Sub-Saharan Africa,Lower middle income
Nicaragua,2001,NIC,69.934,Latin America & Caribbean,Lower middle income
Netherlands,2001,NLD,78.19024390243904,Europe & Central Asia,High income
Norway,2001,NOR,78.78536585365853,Europe & Central Asia,High income
Nepal,2001,NPL,62.945,South Asia,Lower middle income
Nauru,2001,NRU,,East Asia & Pacific,High income
New Zealand,2001,NZL,78.69268292682928,East Asia & Pacific,High income
Oman,2001,OMN,72.58,Middle East & North Africa,High income
Pakistan,2001,PAK,63.066,South Asia,Lower middle income
Panama,2001,PAN,75.233,Latin America & Caribbean,High income
Peru,2001,PER,71.505,Latin America & Caribbean,Upper middle income
Philippines,2001,PHL,68.835,East Asia & Pacific,Lower middle income
Palau,2001,PLW,,East Asia & Pacific,Upper middle income
Papua New Guinea,2001,PNG,59.487,East Asia & Pacific,Lower middle income
Poland,2001,POL,74.2,Europe & Central Asia,High income
Puerto Rico,2001,PRI,77.06682926829271,Latin America & Caribbean,High income
Portugal,2001,PRT,76.81463414634149,Europe & Central Asia,High income
Paraguay,2001,PRY,70.786,Latin America & Caribbean,Upper middle income
Qatar,2001,QAT,77.612,Middle East & North Africa,High income
Romania,2001,ROU,71.16097560975611,Europe & Central Asia,High income
Rwanda,2001,RWA,49.936,Sub-Saharan Africa,Low income
Saudi Arabia,2001,SAU,72.759,Middle East & North Africa,High income
Sudan,2001,SDN,58.859,Sub-Saharan Africa,Low income
Senegal,2001,SEN,58.177,Sub-Saharan Africa,Lower middle income
Singapore,2001,SGP,78.25121951219512,East Asia & Pacific,High income
Solomon Islands,2001,SLB,67.816,East Asia & Pacific,Lower middle income
Sierra Leone,2001,SLE,40.369,Sub-Saharan Africa,Low income
El Salvador,2001,SLV,69.162,Latin America & Caribbean,Lower middle income
San Marino,2001,SMR,,Europe & Central Asia,High income
Somalia,2001,SOM,51.213,Sub-Saharan Africa,Low income
Serbia,2001,SRB,72.23414634146341,Europe & Central Asia,Upper middle income
South Sudan,2001,SSD,49.592,Sub-Saharan Africa,Low income
Sao Tome and Principe,2001,STP,62.017,Sub-Saharan Africa,Lower middle income
Suriname,2001,SUR,67.913,Latin America & Caribbean,Upper middle income
Slovenia,2001,SVN,75.75853658536586,Europe & Central Asia,High income
Sweden,2001,SWE,79.79512195121951,Europe & Central Asia,High income
Eswatini,2001,SWZ,45.799,Sub-Saharan Africa,Lower middle income
Seychelles,2001,SYC,73.25365853658538,Sub-Saharan Africa,High income
Chad,2001,TCD,47.789,Sub-Saharan Africa,Low income
Togo,2001,TGO,53.554,Sub-Saharan Africa,Low income
Thailand,2001,THA,70.832,East Asia & Pacific,Upper middle income
Tajikistan,2001,TJK,62.807,Europe & Central Asia,Lower middle income
Turkmenistan,2001,TKM,63.842,Europe & Central Asia,Upper middle income
Tonga,2001,TON,69.725,East Asia & Pacific,Upper middle income
Trinidad and Tobago,2001,TTO,69.65,Latin America & Caribbean,High income
Tunisia,2001,TUN,73.415,Middle East & North Africa,Lower middle income
Tuvalu,2001,TUV,,East Asia & Pacific,Upper middle income
Tanzania,2001,TZA,51.444,Sub-Saharan Africa,Lower middle income
